DBN,year_start,school_year,scenario,model,Forecast,Actual,Error,Abs_Error,Pct_Error
02M116,2022,2022-23,Base,Prophet,282.7654661130595,306.0,-23.234533886940483,23.234533886940483,-0.075929849303727
02M116,2023,2023-24,Base,Prophet,239.1060791362696,318.0,-78.89392086373044,78.89392086373044,-0.2480940907664479
02M116,2024,2024-25,Base,Prophet,195.3270774006392,351.0,-155.67292259936082,155.67292259936082,-0.443512599998179
02M124,2022,2022-23,Pessimistic,Piecewise Linear,475.0,480.0,-5.000000000000057,5.000000000000057,-0.0104166666666667
02M124,2023,2023-24,Pessimistic,Piecewise Linear,417.9999999999999,463.0,-45.000000000000114,45.000000000000114,-0.0971922246220304
02M124,2024,2024-25,Pessimistic,Piecewise Linear,360.9999999999999,429.0,-68.00000000000011,68.00000000000011,-0.1585081585081587
02M124,2022,2022-23,Base,Piecewise Linear,532.0,480.0,52.0,52.0,0.1083333333333333
02M124,2023,2023-24,Base,Piecewise Linear,532.0,463.0,69.0,69.0,0.1490280777537797
02M124,2024,2024-25,Base,Piecewise Linear,532.0,429.0,103.0,103.0,0.2400932400932401
02M124,2022,2022-23,Optimistic,Piecewise Linear,591.3333333333334,480.0,111.33333333333336,111.33333333333336,0.2319444444444445
02M124,2023,2023-24,Optimistic,Piecewise Linear,650.6666666666666,463.0,187.66666666666663,187.66666666666663,0.4053275737940964
02M124,2024,2024-25,Optimistic,Piecewise Linear,710.0,429.0,281.0,281.0,0.655011655011655
02M124,2022,2022-23,Base,Prophet,497.21280557991184,480.0,17.212805579911844,17.212805579911844,0.0358600116248163
02M124,2023,2023-24,Base,Prophet,461.3227439933961,463.0,-1.6772560066038975,1.6772560066038975,-0.003622583167611
02M124,2024,2024-25,Base,Prophet,425.3343534710269,429.0,-3.6656465289731273,3.6656465289731273,-0.0085446306036669
02M130,2022,2022-23,Pessimistic,Piecewise Linear,518.0,575.0,-57.0,57.0,-0.0991304347826086
02M130,2023,2023-24,Pessimistic,Piecewise Linear,420.0,561.0,-141.00000000000006,141.00000000000006,-0.251336898395722
02M130,2024,2024-25,Pessimistic,Piecewise Linear,321.9999999999999,512.0,-190.0000000000001,190.0000000000001,-0.3710937500000002
02M130,2022,2022-23,Base,Piecewise Linear,616.0,575.0,41.0,41.0,0.0713043478260869
02M130,2023,2023-24,Base,Piecewise Linear,616.0,561.0,55.0,55.0,0.0980392156862745
02M130,2024,2024-25,Base,Piecewise Linear,616.0,512.0,104.0,104.0,0.203125
02M130,2022,2022-23,Optimistic,Piecewise Linear,710.1428571428571,575.0,135.1428571428571,135.1428571428571,0.235031055900621
02M130,2023,2023-24,Optimistic,Piecewise Linear,804.2857142857143,561.0,243.28571428571436,243.28571428571436,0.4336643748408455
02M130,2024,2024-25,Optimistic,Piecewise Linear,898.4285714285714,512.0,386.4285714285714,386.4285714285714,0.7547433035714286
02M130,2022,2022-23,Base,Prophet,516.5242953793738,575.0,-58.475704620626175,58.475704620626175,-0.101696877601089
02M130,2023,2023-24,Base,Prophet,408.6505748543224,561.0,-152.34942514567757,152.34942514567757,-0.2715676027552184
02M130,2024,2024-25,Base,Prophet,300.48130988947645,512.0,-211.51869011052355,211.51869011052355,-0.4131224416221163
02M150,2022,2022-23,Pessimistic,Piecewise Linear,113.0,162.0,-49.000000000000014,49.000000000000014,-0.3024691358024692
02M150,2023,2023-24,Pessimistic,Piecewise Linear,87.99999999999997,209.0,-121.00000000000004,121.00000000000004,-0.5789473684210528
02M150,2024,2024-25,Pessimistic,Piecewise Linear,62.99999999999997,255.0,-192.00000000000003,192.00000000000003,-0.7529411764705883
02M150,2022,2022-23,Base,Piecewise Linear,138.0,162.0,-24.0,24.0,-0.1481481481481481
02M150,2023,2023-24,Base,Piecewise Linear,138.0,209.0,-71.0,71.0,-0.3397129186602871
02M150,2024,2024-25,Base,Piecewise Linear,138.0,255.0,-117.0,117.0,-0.4588235294117647
02M150,2022,2022-23,Optimistic,Piecewise Linear,148.0952380952381,162.0,-13.904761904761898,13.904761904761898,-0.0858318636096413
02M150,2023,2023-24,Optimistic,Piecewise Linear,158.19047619047618,209.0,-50.809523809523824,50.809523809523824,-0.2431077694235589
