DBN,School Name,year_start,scenario,model,forecast,actual,error,abs_error,pct_error
02M041,P.S. 041 Greenwich Village,2023,base,Prophet,260.71787952676596,407.0,-146.28212047323404,146.28212047323404,-0.3594155294182655
02M041,P.S. 041 Greenwich Village,2024,base,Prophet,168.5534135624332,409.0,-240.4465864375668,240.4465864375668,-0.5878889643950288
02M042,P.S. 042 Benjamin Altman,2022,pessimistic,Piecewise Linear,451.99999999999994,436.0,15.999999999999943,15.999999999999943,0.03669724770642189
02M042,P.S. 042 Benjamin Altman,2023,pessimistic,Piecewise Linear,428.9999999999999,416.0,12.999999999999886,12.999999999999886,0.031249999999999726
02M042,P.S. 042 Benjamin Altman,2024,pessimistic,Piecewise Linear,405.99999999999983,424.0,-18.00000000000017,18.00000000000017,-0.042452830188679645
02M042,P.S. 042 Benjamin Altman,2022,base,Piecewise Linear,475.0,436.0,39.0,39.0,0.08944954128440367
02M042,P.S. 042 Benjamin Altman,2023,base,Piecewise Linear,475.0,416.0,59.0,59.0,0.14182692307692307
02M042,P.S. 042 Benjamin Altman,2024,base,Piecewise Linear,475.0,424.0,51.0,51.0,0.12028301886792453
02M042,P.S. 042 Benjamin Altman,2022,optimistic,Piecewise Linear,529.4285714285714,436.0,93.42857142857144,93.42857142857144,0.21428571428571433
02M042,P.S. 042 Benjamin Altman,2023,optimistic,Piecewise Linear,583.8571428571429,416.0,167.8571428571429,167.8571428571429,0.4035027472527473
02M042,P.S. 042 Benjamin Altman,2024,optimistic,Piecewise Linear,638.2857142857143,424.0,214.28571428571433,214.28571428571433,0.5053908355795149
02M042,P.S. 042 Benjamin Altman,2022,base,Prophet,458.8290627774949,436.0,22.829062777494926,22.829062777494926,0.052360235728199374
02M042,P.S. 042 Benjamin Altman,2023,base,Prophet,447.4063234415607,416.0,31.406323441560687,31.406323441560687,0.07549596981144396
02M042,P.S. 042 Benjamin Altman,2024,base,Prophet,435.9522889293635,424.0,11.952288929363476,11.952288929363476,0.02818936068246103
02M051,P.S. 051 Elias Howe,2022,pessimistic,Piecewise Linear,341.0,351.0,-10.0,10.0,-0.02849002849002849
02M051,P.S. 051 Elias Howe,2023,pessimistic,Piecewise Linear,308.0,400.0,-92.0,92.0,-0.23
02M051,P.S. 051 Elias Howe,2024,pessimistic,Piecewise Linear,274.99999999999994,393.0,-118.00000000000006,118.00000000000006,-0.3002544529262088
02M051,P.S. 051 Elias Howe,2022,base,Piecewise Linear,374.0,351.0,23.0,23.0,0.06552706552706553
02M051,P.S. 051 Elias Howe,2023,base,Piecewise Linear,374.0,400.0,-26.0,26.0,-0.065
02M051,P.S. 051 Elias Howe,2024,base,Piecewise Linear,374.0,393.0,-19.0,19.0,-0.04834605597964377
02M051,P.S. 051 Elias Howe,2022,optimistic,Piecewise Linear,367.0952380952381,351.0,16.095238095238074,16.095238095238074,0.04585537918871246
02M051,P.S. 051 Elias Howe,2023,optimistic,Piecewise Linear,360.1904761904762,400.0,-39.809523809523796,39.809523809523796,-0.09952380952380949
02M051,P.S. 051 Elias Howe,2024,optimistic,Piecewise Linear,353.2857142857143,393.0,-39.71428571428572,39.71428571428572,-0.10105416212286443
02M051,P.S. 051 Elias Howe,2022,base,Prophet,334.0377284631349,351.0,-16.962271536865103,16.962271536865103,-0.04832555993408861
