DBN,School Name,Year,ds,k5_enroll,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5
02M225,Ella Baker School,2016-17,2016-09-01,203,38,36,35,30,38,26
02M234,P.S. 234 Independence School,2013-14,2013-09-01,785,123,136,119,125,120,162
02M234,P.S. 234 Independence School,2014-15,2014-09-01,729,143,125,122,107,120,112
02M234,P.S. 234 Independence School,2015-16,2015-09-01,704,130,133,114,120,100,107
02M234,P.S. 234 Independence School,2016-17,2016-09-01,683,119,130,118,111,112,93
02M267,"East Side Elementary School, PS 267",2013-14,2013-09-01,228,73,72,58,25,0,0
02M267,"East Side Elementary School, PS 267",2014-15,2014-09-01,284,74,71,64,52,23,0
02M267,"East Side Elementary School, PS 267",2015-16,2015-09-01,347,88,61,64,66,48,20
02M267,"East Side Elementary School, PS 267",2016-17,2016-09-01,381,82,73,56,66,58,46
02M281,The River School,2013-14,2013-09-01,50,50,0,0,0,0,0
02M281,The River School,2014-15,2014-09-01,72,39,33,0,0,0,0
02M281,The River School,2015-16,2015-09-01,118,62,31,25,0,0,0
02M281,The River School,2016-17,2016-09-01,153,56,48,24,25,0,0
02M290,P.S. 290 Manhattan New School,2013-14,2013-09-01,675,105,103,109,112,129,117
02M290,P.S. 290 Manhattan New School,2014-15,2014-09-01,646,112,109,91,94,115,125
02M290,P.S. 290 Manhattan New School,2015-16,2015-09-01,627,112,115,107,86,93,114
02M290,P.S. 290 Manhattan New School,2016-17,2016-09-01,592,101,107,102,102,88,92
02M340,Sixth Avenue Elementary School,2014-15,2014-09-01,32,32,0,0,0,0,0
02M340,Sixth Avenue Elementary School,2015-16,2015-09-01,85,48,37,0,0,0,0
02M340,Sixth Avenue Elementary School,2016-17,2016-09-01,145,66,44,35,0,0,0
02M343,The Peck Slip School,2013-14,2013-09-01,89,42,47,0,0,0,0
02M343,The Peck Slip School,2014-15,2014-09-01,161,69,43,49,0,0,0
02M343,The Peck Slip School,2015-16,2015-09-01,243,82,72,48,41,0,0
02M343,The Peck Slip School,2016-17,2016-09-01,341,96,75,71,54,45,0
02M527,P.S. 527 - East Side School for Social Action,2013-14,2013-09-01,92,43,49,0,0,0,0
02M527,P.S. 527 - East Side School for Social Action,2014-15,2014-09-01,157,62,46,49,0,0,0
02M527,P.S. 527 - East Side School for Social Action,2015-16,2015-09-01,231,79,53,50,49,0,0
02M527,P.S. 527 - East Side School for Social Action,2016-17,2016-09-01,294,68,74,50,52,50,0
02M001,P.S. 001 Alfred E. Smith,2017-18,2017-09-01,294,44,51,46,47,55,51
02M001,P.S. 001 Alfred E. Smith,2018-19,2018-09-01,266,35,40,42,47,47,55
02M001,P.S. 001 Alfred E. Smith,2019-20,2019-09-01,229,27,35,38,39,47,43
02M001,P.S. 001 Alfred E. Smith,2020-21,2020-09-01,211,31,27,34,38,38,43
02M001,P.S. 001 Alfred E. Smith,2021-22,2021-09-01,192,34,28,22,30,37,41
02M002,P.S. 002 Meyer London,2017-18,2017-09-01,530,88,69,81,79,93,120
02M002,P.S. 002 Meyer London,2018-19,2018-09-01,463,63,84,67,78,79,92
02M002,P.S. 002 Meyer London,2019-20,2019-09-01,421,54,55,86,66,78,82
02M002,P.S. 002 Meyer London,2020-21,2020-09-01,397,61,54,60,83,63,76
02M002,P.S. 002 Meyer London,2021-22,2021-09-01,343,48,60,50,52,77,56
02M003,P.S. 003 Charrette School,2017-18,2017-09-01,699,126,134,113,98,120,108
02M003,P.S. 003 Charrette School,2018-19,2018-09-01,677,125,111,127,100,99,115
02M003,P.S. 003 Charrette School,2019-20,2019-09-01,647,118,117,106,120,89,97
02M003,P.S. 003 Charrette School,2020-21,2020-09-01,552,96,92,94,90,102,78
02M003,P.S. 003 Charrette School,2021-22,2021-09-01,516,85,85,87,85,86,88
02M006,P.S. 006 Lillie D. Blake,2017-18,2017-09-01,616,100,105,93,97,106,115
02M006,P.S. 006 Lillie D. Blake,2018-19,2018-09-01,588,104,109,100,90,86,99
02M006,P.S. 006 Lillie D. Blake,2019-20,2019-09-01,578,109,100,106,96,81,86
02M006,P.S. 006 Lillie D. Blake,2020-21,2020-09-01,526,97,98,91,91,79,70
02M006,P.S. 006 Lillie D. Blake,2021-22,2021-09-01,491,90,90,81,81,81,68
02M011,P.S. 011 William T. Harris,2017-18,2017-09-01,905,140,155,146,131,150,183
02M011,P.S. 011 William T. Harris,2018-19,2018-09-01,870,153,137,155,145,134,146
02M011,P.S. 011 William T. Harris,2019-20,2019-09-01,882,144,160,133,162,142,141
02M011,P.S. 011 William T. Harris,2020-21,2020-09-01,788,128,138,142,114,140,126
02M011,P.S. 011 William T. Harris,2021-22,2021-09-01,713,96,132,119,131,102,133
02M033,P.S. 033 Chelsea Prep,2017-18,2017-09-01,614,100,96,98,121,102,97
02M033,P.S. 033 Chelsea Prep,2018-19,2018-09-01,599,81,114,94,99,113,98
02M033,P.S. 033 Chelsea Prep,2019-20,2019-09-01,579,102,93,105,88,88,103
02M033,P.S. 033 Chelsea Prep,2020-21,2020-09-01,524,83,97,88,102,79,75
02M033,P.S. 033 Chelsea Prep,2021-22,2021-09-01,480,70,87,81,84,82,76
02M040,P.S. 040 Augustus Saint-Gaudens,2017-18,2017-09-01,637,127,125,96,96,97,96
02M040,P.S. 040 Augustus Saint-Gaudens,2018-19,2018-09-01,673,125,138,125,96,93,96
02M040,P.S. 040 Augustus Saint-Gaudens,2019-20,2019-09-01,682,119,121,131,125,97,89
02M040,P.S. 040 Augustus Saint-Gaudens,2020-21,2020-09-01,616,105,103,95,116,105,92
02M040,P.S. 040 Augustus Saint-Gaudens,2021-22,2021-09-01,578,103,98,89,85,106,97
02M041,P.S. 041 Greenwich Village,2017-18,2017-09-01,658,119,100,119,90,123,107
02M041,P.S. 041 Greenwich Village,2018-19,2018-09-01,641,110,112,95,118,90,116
02M041,P.S. 041 Greenwich Village,2019-20,2019-09-01,615,117,102,109,93,106,88
02M041,P.S. 041 Greenwich Village,2020-21,2020-09-01,485,72,75,86,88,78,86
02M041,P.S. 041 Greenwich Village,2021-22,2021-09-01,427,73,59,73,69,87,66
02M042,P.S. 042 Benjamin Altman,2017-18,2017-09-01,611,112,99,95,90,86,129
02M042,P.S. 042 Benjamin Altman,2018-19,2018-09-01,540,82,105,98,91,81,83
02M042,P.S. 042 Benjamin Altman,2019-20,2019-09-01,514,89,80,95,86,88,76
02M042,P.S. 042 Benjamin Altman,2020-21,2020-09-01,498,84,74,76,94,87,83
02M042,P.S. 042 Benjamin Altman,2021-22,2021-09-01,475,96,70,71,69,85,84
02M051,P.S. 051 Elias Howe,2017-18,2017-09-01,385,66,73,62,59,64,61
02M051,P.S. 051 Elias Howe,2018-19,2018-09-01,410,64,77,73,68,64,64
02M051,P.S. 051 Elias Howe,2019-20,2019-09-01,416,71,71,70,80,59,65
02M051,P.S. 051 Elias Howe,2020-21,2020-09-01,407,68,67,66,65,86,55
02M051,P.S. 051 Elias Howe,2021-22,2021-09-01,374,59,60,53,61,64,77
02M059,P.S. 059 Beekman Hill International,2017-18,2017-09-01,594,118,104,112,101,62,97
02M059,P.S. 059 Beekman Hill International,2018-19,2018-09-01,578,100,111,102,104,96,65
02M059,P.S. 059 Beekman Hill International,2019-20,2019-09-01,619,127,95,108,91,101,97
02M059,P.S. 059 Beekman Hill International,2020-21,2020-09-01,569,117,101,80,91,82,98
02M059,P.S. 059 Beekman Hill International,2021-22,2021-09-01,524,106,109,94,65,84,66
02M077,P.S. 77 Lower Lab School,2017-18,2017-09-01,358,50,60,64,64,63,57
02M077,P.S. 77 Lower Lab School,2018-19,2018-09-01,360,50,60,64,64,64,58
02M077,P.S. 77 Lower Lab School,2019-20,2019-09-01,362,50,64,64,64,62,58
02M077,P.S. 77 Lower Lab School,2020-21,2020-09-01,351,50,64,64,64,58,51
02M077,P.S. 77 Lower Lab School,2021-22,2021-09-01,346,50,58,64,64,60,50
02M089,P.S. 89,2017-18,2017-09-01,397,97,64,53,62,76,45
02M089,P.S. 89,2018-19,2018-09-01,421,88,92,63,47,61,70
02M089,P.S. 89,2019-20,2019-09-01,418,87,85,78,62,51,55
02M089,P.S. 89,2020-21,2020-09-01,313,55,59,55,50,49,45
02M089,P.S. 89,2021-22,2021-09-01,312,68,44,59,60,44,37
02M111,P.S. 111 Adolph S. Ochs,2017-18,2017-09-01,349,58,48,76,51,58,58
02M111,P.S. 111 Adolph S. Ochs,2018-19,2018-09-01,365,69,56,52,73,57,58
02M111,P.S. 111 Adolph S. Ochs,2019-20,2019-09-01,388,64,71,58,60,79,56
02M111,P.S. 111 Adolph S. Ochs,2020-21,2020-09-01,367,63,55,61,50,59,79
02M111,P.S. 111 Adolph S. Ochs,2021-22,2021-09-01,296,44,48,52,55,46,51
02M116,P.S. 116 Mary Lindley Murray,2017-18,2017-09-01,492,86,84,68,85,75,94
02M116,P.S. 116 Mary Lindley Murray,2018-19,2018-09-01,450,74,84,73,63,81,75
02M116,P.S. 116 Mary Lindley Murray,2019-20,2019-09-01,446,82,61,87,72,60,84
02M116,P.S. 116 Mary Lindley Murray,2020-21,2020-09-01,367,60,70,51,68,70,48
02M116,P.S. 116 Mary Lindley Murray,2021-22,2021-09-01,333,54,53,60,42,58,66
02M124,P.S. 124 Yung Wing,2017-18,2017-09-01,668,100,118,113,103,95,139
02M124,P.S. 124 Yung Wing,2018-19,2018-09-01,616,95,106,116,106,100,93
02M124,P.S. 124 Yung Wing,2019-20,2019-09-01,611,98,89,105,113,105,101
02M124,P.S. 124 Yung Wing,2020-21,2020-09-01,589,97,95,87,99,109,102
02M124,P.S. 124 Yung Wing,2021-22,2021-09-01,532,94,86,77,84,90,101
